medicine_id,medicine_name,medicine_name_normalized,is_who_eeml,aware_category,is_monitoring_only,is_not_on_eml,official_source_url,data_status,verification_status,verified_by,verified_at,source_name,source_version,import_status
315,Abacavir,abacavir,True,[],False,False,https://list.essentialmeds.org/medicines/315/,WHO_ONLY,pending,,,WHO,WHO electronic list snapshot,ready
947,Abacavir + dolutegravir + lamivudine,abacavir + dolutegravir + lamivudine,True,[],False,False,https://list.essentialmeds.org/medicines/947/,WHO_ONLY,pending,,,WHO,WHO electronic list snapshot,ready
316,Abacavir + lamivudine,abacavir + lamivudine,True,[],False,False,https://list.essentialmeds.org/medicines/316/,WHO_ONLY,pending,,,WHO,WHO electronic list snapshot,ready
406,Abiraterone,abiraterone,True,[],False,False,https://list.essentialmeds.org/medicines/406/,WHO_ONLY,pending,,,WHO,WHO electronic list snapshot,ready
908,Acamprosate calcium,acamprosate calcium,True,[],False,False,https://list.essentialmeds.org/medicines/908/,WHO_ONLY,pending,,,WHO,WHO electronic list snapshot,ready
979,Acenocoumarol,acenocoumarol,True,[],False,False,https://list.essentialmeds.org/medicines/979/,WHO_ONLY,pending,,,WHO,WHO electronic list snapshot,ready
234,Acetazolamide,acetazolamide,True,[],False,False,https://list.essentialmeds.org/medicines/234/,WHO_ONLY,pending,,,WHO,WHO electronic list snapshot,ready
270,Acetic acid,acetic acid,True,[],False,False,https://list.essentialmeds.org/medicines/270/,WHO_ONLY,pending,,,WHO,WHO electronic list snapshot,ready
36,Acetylcysteine,acetylcysteine,True,[],False,False,https://list.essentialmeds.org/medicines/36/,WHO_ONLY,pending,,,WHO,WHO electronic list snapshot,ready
13,Acetylsalicylic acid,acetylsalicylic acid,True,[],False,False,https://list.essentialmeds.org/medicines/13/,WHO_ONLY,pending,,,WHO,WHO electronic list snapshot,ready
910,Acetylsalicylic acid + atorvastatin + ramipril,acetylsalicylic acid + atorvastatin + ramipril,True,[],False,False,https://list.essentialmeds.org/medicines/910/,WHO_ONLY,pending,,,WHO,WHO electronic list snapshot,ready
911,Acetylsalicylic acid + simvastatin + ramipril + atenolol + hydrochlorothiazide,acetylsalicylic acid + simvastatin + ramipril + atenolol + hydrochlorothiazide,True,[],False,False,https://list.essentialmeds.org/medicines/911/,WHO_ONLY,pending,,,WHO,WHO electronic list snapshot,ready
,Acetylspiramycin + metronidazole,acetylspiramycin + metronidazole,False,"[""Not recommended""]",True,True,https://list.essentialmeds.org/medicines/1003,AWARE_ONLY,pending,,,WHO,WHO electronic list snapshot,ready
226,Aciclovir,aciclovir,True,[],False,False,https://list.essentialmeds.org/medicines/226/,WHO_ONLY,pending,,,WHO,WHO electronic list snapshot,ready
674,Aclidinium,aclidinium,True,[],False,False,https://list.essentialmeds.org/medicines/674/,WHO_ONLY,pending,,,WHO,WHO electronic list snapshot,ready
297,Activated charcoal,activated charcoal,True,[],False,False,https://list.essentialmeds.org/medicines/297/,WHO_ONLY,pending,,,WHO,WHO electronic list snapshot,ready
552,Adalimumab,adalimumab,True,[],False,False,https://list.essentialmeds.org/medicines/552/,WHO_ONLY,pending,,,WHO,WHO electronic list snapshot,ready
