medicine_name,medicine_name_normalized,aware_category,is_monitoring_only,is_not_on_eml,medicine_url,source,source_url,retrieved_at
Amikacin,amikacin,Access,False,False,https://list.essentialmeds.org/medicines/327,WHO AWaRe Antibiotics Portal,https://aware.essentialmeds.org/list,2026-07-13T20:35:59.093455+00:00
Amoxicillin,amoxicillin,Access,False,False,https://list.essentialmeds.org/medicines/299,WHO AWaRe Antibiotics Portal,https://aware.essentialmeds.org/list,2026-07-13T20:35:59.114754+00:00
Amoxicillin + clavulanic acid,amoxicillin + clavulanic acid,Access,False,False,https://list.essentialmeds.org/medicines/310,WHO AWaRe Antibiotics Portal,https://aware.essentialmeds.org/list,2026-07-13T20:35:59.144259+00:00
Amoxicillin + sulbactam,amoxicillin + sulbactam,Access,True,True,https://list.essentialmeds.org/medicines/981,WHO AWaRe Antibiotics Portal,https://aware.essentialmeds.org/list,2026-07-13T20:35:59.227240+00:00
Ampicillin,ampicillin,Access,False,False,https://list.essentialmeds.org/medicines/302,WHO AWaRe Antibiotics Portal,https://aware.essentialmeds.org/list,2026-07-13T20:35:59.231863+00:00
Ampicillin + sulbactam,ampicillin + sulbactam,Access,True,True,https://list.essentialmeds.org/medicines/598,WHO AWaRe Antibiotics Portal,https://aware.essentialmeds.org/list,2026-07-13T20:35:59.276905+00:00
Azanidazole,azanidazole,Access,True,True,https://list.essentialmeds.org/medicines/980,WHO AWaRe Antibiotics Portal,https://aware.essentialmeds.org/list,2026-07-13T20:35:59.299613+00:00
Azidocillin,azidocillin,Access,True,True,https://list.essentialmeds.org/medicines/793,WHO AWaRe Antibiotics Portal,https://aware.essentialmeds.org/list,2026-07-13T20:35:59.304481+00:00
Bacampicillin,bacampicillin,Access,True,True,https://list.essentialmeds.org/medicines/680,WHO AWaRe Antibiotics Portal,https://aware.essentialmeds.org/list,2026-07-13T20:35:59.366647+00:00
Benzathine benzylpenicillin,benzathine benzylpenicillin,Access,False,False,https://list.essentialmeds.org/medicines/311,WHO AWaRe Antibiotics Portal,https://aware.essentialmeds.org/list,2026-07-13T20:35:59.375454+00:00
Benzathine phenoxymethylpenicillin,benzathine phenoxymethylpenicillin,Access,True,True,https://list.essentialmeds.org/medicines/983,WHO AWaRe Antibiotics Portal,https://aware.essentialmeds.org/list,2026-07-13T20:35:59.384464+00:00
Benzylpenicillin,benzylpenicillin,Access,False,False,https://list.essentialmeds.org/medicines/303,WHO AWaRe Antibiotics Portal,https://aware.essentialmeds.org/list,2026-07-13T20:35:59.388984+00:00
Brodimoprim,brodimoprim,Access,True,True,https://list.essentialmeds.org/medicines/795,WHO AWaRe Antibiotics Portal,https://aware.essentialmeds.org/list,2026-07-13T20:35:59.415011+00:00
Capreomycin,capreomycin,Access,True,True,https://list.essentialmeds.org/medicines/349,WHO AWaRe Antibiotics Portal,https://aware.essentialmeds.org/list,2026-07-13T20:35:59.427763+00:00
Cefacetrile,cefacetrile,Access,True,True,https://list.essentialmeds.org/medicines/683,WHO AWaRe Antibiotics Portal,https://aware.essentialmeds.org/list,2026-07-13T20:35:59.444892+00:00
Cefadroxil,cefadroxil,Access,True,True,https://list.essentialmeds.org/medicines/685,WHO AWaRe Antibiotics Portal,https://aware.essentialmeds.org/list,2026-07-13T20:35:59.457863+00:00
Cefalexin,cefalexin,Access,False,False,https://list.essentialmeds.org/medicines/304,WHO AWaRe Antibiotics Portal,https://aware.essentialmeds.org/list,2026-07-13T20:35:59.470097+00:00
Cefaloridine,cefaloridine,Access,True,True,https://list.essentialmeds.org/medicines/798,WHO AWaRe Antibiotics Portal,https://aware.essentialmeds.org/list,2026-07-13T20:35:59.485793+00:00
Cefalotin,cefalotin,Access,True,True,https://list.essentialmeds.org/medicines/686,WHO AWaRe Antibiotics Portal,https://aware.essentialmeds.org/list,2026-07-13T20:35:59.489734+00:00
Cefapirin,cefapirin,Access,True,True,https://list.essentialmeds.org/medicines/688,WHO AWaRe Antibiotics Portal,https://aware.essentialmeds.org/list,2026-07-13T20:35:59.497610+00:00
Cefatrizine,cefatrizine,Access,True,True,https://list.essentialmeds.org/medicines/689,WHO AWaRe Antibiotics Portal,https://aware.essentialmeds.org/list,2026-07-13T20:35:59.501407+00:00
Cefazedone,cefazedone,Access,True,True,https://list.essentialmeds.org/medicines/690,WHO AWaRe Antibiotics Portal,https://aware.essentialmeds.org/list,2026-07-13T20:35:59.505378+00:00
Cefazolin,cefazolin,Access,False,False,https://list.essentialmeds.org/medicines/305,WHO AWaRe Antibiotics Portal,https://aware.essentialmeds.org/list,2026-07-13T20:35:59.509289+00:00
Cefradine,cefradine,Access,True,True,https://list.essentialmeds.org/medicines/712,WHO AWaRe Antibiotics Portal,https://aware.essentialmeds.org/list,2026-07-13T20:35:59.712341+00:00
Cefroxadine,cefroxadine,Access,True,True,https://list.essentialmeds.org/medicines/713,WHO AWaRe Antibiotics Portal,https://aware.essentialmeds.org/list,2026-07-13T20:35:59.715814+00:00
Ceftezole,ceftezole,Access,True,True,https://list.essentialmeds.org/medicines/715,WHO AWaRe Antibiotics Portal,https://aware.essentialmeds.org/list,2026-07-13T20:35:59.745566+00:00
Chloramphenicol,chloramphenicol,Access,False,False,https://list.essentialmeds.org/medicines/332,WHO AWaRe Antibiotics Portal,https://aware.essentialmeds.org/list,2026-07-13T20:35:59.801078+00:00
Clindamycin,clindamycin,Access,False,False,https://list.essentialmeds.org/medicines/309,WHO AWaRe Antibiotics Portal,https://aware.essentialmeds.org/list,2026-07-13T20:35:59.843699+00:00
Clometocillin,clometocillin,Access,True,True,https://list.essentialmeds.org/medicines/720,WHO AWaRe Antibiotics Portal,https://aware.essentialmeds.org/list,2026-07-13T20:35:59.856061+00:00
Cloxacillin,cloxacillin,Access,False,False,https://list.essentialmeds.org/medicines/306,WHO AWaRe Antibiotics Portal,https://aware.essentialmeds.org/list,2026-07-13T20:35:59.861955+00:00
Dicloxacillin,dicloxacillin,Access,True,True,https://list.essentialmeds.org/medicines/724,WHO AWaRe Antibiotics Portal,https://aware.essentialmeds.org/list,2026-07-13T20:35:59.893996+00:00
Doxycycline,doxycycline,Access,False,False,https://list.essentialmeds.org/medicines/318,WHO AWaRe Antibiotics Portal,https://aware.essentialmeds.org/list,2026-07-13T20:35:59.902254+00:00
Epicillin,epicillin,Access,True,True,https://list.essentialmeds.org/medicines/804,WHO AWaRe Antibiotics Portal,https://aware.essentialmeds.org/list,2026-07-13T20:35:59.915818+00:00
First choice,first choice,Access,True,True,https://list.essentialmeds.org/recommendations/610,WHO AWaRe Antibiotics Portal,https://aware.essentialmeds.org/list,2026-07-13T20:35:59.379658+00:00
Flucloxacillin,flucloxacillin,Access,True,True,https://list.essentialmeds.org/medicines/732,WHO AWaRe Antibiotics Portal,https://aware.essentialmeds.org/list,2026-07-13T20:35:59.942412+00:00
Furazidin,furazidin,Access,True,True,https://list.essentialmeds.org/medicines/807,WHO AWaRe Antibiotics Portal,https://aware.essentialmeds.org/list,2026-07-13T20:35:59.958068+00:00
Gentamicin,gentamicin,Access,False,False,https://list.essentialmeds.org/medicines/229,WHO AWaRe Antibiotics Portal,https://aware.essentialmeds.org/list,2026-07-13T20:35:59.973601+00:00
Hetacillin,hetacillin,Access,True,True,https://list.essentialmeds.org/medicines/809,WHO AWaRe Antibiotics Portal,https://aware.essentialmeds.org/list,2026-07-13T20:35:59.985315+00:00
Mecillinam,mecillinam,Access,True,True,https://list.essentialmeds.org/medicines/744,WHO AWaRe Antibiotics Portal,https://aware.essentialmeds.org/list,2026-07-13T20:36:00.039560+00:00
Metampicillin,metampicillin,Access,True,True,https://list.essentialmeds.org/medicines/817,WHO AWaRe Antibiotics Portal,https://aware.essentialmeds.org/list,2026-07-13T20:36:00.053411+00:00
Meticillin,meticillin,Access,False,False,https://list.essentialmeds.org/medicines/818,WHO AWaRe Antibiotics Portal,https://aware.essentialmeds.org/list,2026-07-13T20:36:00.055409+00:00
